                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.404,                 2.3311,                 1.5138,                0.59056,                0.50013,                0.52797,                0.24639,                 1.7993,                 1.6938,                 1.6981,               0.070184,              0.0033129,              0.0033129
                      1,                 1.1824,                  1.412,                 1.3417,                0.74356,                0.56257,                0.63736,                 0.2985,                 1.7854,                 1.3825,                 1.6586,               0.040052,              0.0065146,              0.0065146
                      2,                 1.1839,                 1.2997,                 1.3234,                0.72491,                0.55776,                0.60194,                0.29166,                 1.7451,                 1.4287,                 1.6657,              0.0097889,              0.0095844,              0.0095844
                      3,                 1.1944,                 1.2848,                 1.3284,                 0.6884,                0.60011,                0.61385,                0.28551,                 1.8668,                 1.4552,                  1.814,               0.009406,               0.009406,               0.009406
                      4,                 1.1743,                 1.2308,                 1.3138,                0.75948,                0.60757,                0.65467,                0.32493,                 1.7542,                 1.3306,                 1.7169,               0.009406,               0.009406,               0.009406
                      5,                 1.1549,                 1.1945,                 1.3005,                0.75938,                0.59814,                0.64304,                0.31439,                 1.7367,                 1.3658,                 1.7105,               0.009208,               0.009208,               0.009208
                      6,                 1.1312,                 1.1291,                 1.2839,                0.78008,                0.62485,                0.68292,                0.30463,                 1.8637,                 1.2304,                  1.835,                0.00901,                0.00901,                0.00901
                      7,                 1.1077,                 1.0848,                 1.2666,                  0.815,                0.55349,                0.65775,                0.32955,                 1.7386,                 1.2728,                 1.7169,               0.008812,               0.008812,               0.008812
                      8,                 1.0934,                 1.0561,                 1.2575,                0.78253,                0.65906,                0.71304,                0.36115,                  1.666,                 1.0872,                 1.6736,               0.008614,               0.008614,               0.008614
                      9,                 1.0783,                 1.0171,                 1.2405,                0.79127,                0.63605,                0.69116,                 0.3508,                 1.7254,                 1.1388,                 1.7154,               0.008416,               0.008416,               0.008416
                     10,                 1.0615,                0.99546,                 1.2348,                0.75734,                0.64786,                0.68946,                 0.3712,                 1.5977,                 1.1051,                 1.6147,               0.008218,               0.008218,               0.008218
                     11,                 1.0436,                0.96681,                 1.2276,                0.84409,                 0.6527,                0.72222,                0.39869,                 1.5648,                 1.0233,                 1.5722,                0.00802,                0.00802,                0.00802
                     12,                 1.0277,                0.94669,                 1.2145,                0.79365,                0.67245,                0.72158,                0.38366,                   1.63,                 1.0805,                 1.6394,               0.007822,               0.007822,               0.007822
                     13,                 1.0159,                0.92846,                 1.2048,                0.78992,                0.67325,                0.72279,                 0.4078,                 1.4934,                0.99424,                 1.5089,               0.007624,               0.007624,               0.007624
                     14,                0.99854,                 0.8999,                  1.198,                0.79454,                0.68614,                0.72379,                 0.4032,                 1.5316,                 1.0341,                 1.5596,               0.007426,               0.007426,               0.007426
                     15,                0.99263,                0.88143,                 1.1876,                 0.8345,                 0.6834,                0.73982,                0.40972,                 1.5423,                0.96973,                   1.57,               0.007228,               0.007228,               0.007228
